title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
Monster Hunter 3 Ultimate,Wii U,Capcom,"['Role-Playing', 'Action Adventure', 'Fantasy', 'Action RPG']",T,"Mar 19, 2013",82,Generally favorable reviews,46,9,0,8.3,Generally favorable reviews,266,28,36
MOP: Operation Cleanup,Wii U,EnsenaSoft,"['Action', 'Platformer', '2D']",E10+,"Apr 20, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mortar Melon,Wii U,Mudvark,"['Action', 'General', 'Arcade']",E,"Aug 20, 2015",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
Mountain Peak Battle Mess,Wii U,Vadim Gafton,"['Action', 'Role-Playing', 'General', 'Action RPG']",E10+,"Oct 24, 2019",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Mr. Pumpkin Adventure,Wii U,CottonGame,"['Adventure', 'Point-and-Click']",E,"Oct 20, 2016",0,No score yet,1,0,0,tbd,No user score yet,1,0,0
Mutant Alien Moles of the Dead,Wii U,Pixel Bones Studios,"['Action', 'General', 'Arcade']",E10+,"Jun 15, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,1
Mutant Mudds Deluxe,Wii U,Renegade Kid,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Jun 13, 2013",84,Generally favorable reviews,6,1,0,7.5,Generally favorable reviews,34,6,8
Mutant Mudds: Super Challenge,Wii U,Renegade Kid,"['Action', 'Platformer', '2D']",E,"Mar 17, 2016",83,Generally favorable reviews,6,1,0,7.3,Mixed or average reviews,17,2,5
My Arctic Farm,Wii U,BiP Media,"['Simulation', 'Miscellaneous', 'Virtual', 'Virtual Life']",E,"Jun 26, 2014",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
My Exotic Farm,Wii U,BiP Media,"['Simulation', 'Miscellaneous', 'Virtual', 'Virtual Life']",E,"Apr 10, 2014",0,No score yet,0,0,3,tbd,No user score yet,0,0,2
My Farm,Wii U,BiP Media,"['Simulation', 'Miscellaneous', 'Virtual', 'Virtual Life']",E,"Feb 27, 2014",0,No score yet,0,0,2,4.3,Generally unfavorable reviews,2,1,3
My First Songs,Wii U,RingZero Game Studio,"['Action', 'Miscellaneous', 'General', 'Edutainment', 'Music Maker', 'Application']",E,"Apr 17, 2014",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
My Jurassic Farm,Wii U,BiP Media,"['Simulation', 'Miscellaneous', 'Virtual', 'Virtual Life']",E,"Jun 26, 2014",0,No score yet,0,0,1,tbd,No user score yet,1,0,0
My Style Studio: Hair Salon,Wii U,Cypronia,"['Simulation', 'Miscellaneous', 'General', 'Virtual', 'Career']",E,"Mar 27, 2014",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
My Style Studio: Notebook,Wii U,Cypronia,"['Miscellaneous', 'Application']",E,"Mar 12, 2015",40,Generally unfavorable reviews,0,1,3,tbd,No user score yet,0,1,3
Nano Assault Neo,Wii U,Shin'en,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Top-Down']",E,"Nov 18, 2012",71,Mixed or average reviews,9,12,1,7.5,Generally favorable reviews,38,17,6
NBA 2K13,Wii U,Visual Concepts,"['Sports', 'Traditional', 'Team', 'Basketball', 'Sim', 'Sim']",E,"Nov 18, 2012",85,Generally favorable reviews,16,1,0,7.2,Mixed or average reviews,30,11,8
Near Earth Objects,Wii U,Jay X Townsend,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Jan 14, 2016",0,No score yet,0,2,0,tbd,No user score yet,0,2,0
Need for Speed: Most Wanted U,Wii U,Criterion Games,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'GT / Street', 'Automobile']",E10+,"Mar 19, 2013",86,Generally favorable reviews,36,0,0,7.5,Generally favorable reviews,129,25,33
Neon Battle,Wii U,Helix Games,"['Action', 'Arcade']",E,"Jul  9, 2015",0,No score yet,0,2,0,tbd,No user score yet,1,0,0
NES Remix,Wii U,indieszero,"['Miscellaneous', 'General', 'Party / Minigame']",E,"Dec 18, 2013",71,Mixed or average reviews,21,11,2,7.2,Mixed or average reviews,88,35,21
NES Remix 2,Wii U,indieszero,"['Miscellaneous', 'General', 'Party / Minigame']",E,"Apr 25, 2014",73,Mixed or average reviews,20,16,0,8.0,Generally favorable reviews,42,12,5
NES Remix Pack,Wii U,indieszero,"['Miscellaneous', 'Compilation']",E,"Dec  5, 2014",0,No score yet,1,1,0,8.6,Generally favorable reviews,27,2,3
Never Alone,Wii U,Upper One Games,"['Action', 'Platformer', '2D']",E10+,"Jun 25, 2015",67,Mixed or average reviews,1,4,0,6.8,Mixed or average reviews,7,5,1
New Super Luigi U,Wii U,Nintendo,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Jun 20, 2013",77,Generally favorable reviews,44,15,0,8.0,Generally favorable reviews,253,56,31
New Super Mario Bros. U,Wii U,Nintendo,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Nov 18, 2012",84,Generally favorable reviews,65,5,0,8.0,Generally favorable reviews,702,171,70
New Super Mario Bros. U + New Super Luigi U,Wii U,Nintendo,"['Action', 'Platformer', '2D']",E,"Nov  1, 2013",0,No score yet,0,0,0,8.7,Generally favorable reviews,41,4,3
Nihilumbra,Wii U,"BEAUTIFUN GAMES SL, BeautiFun Games","['Action', 'Adventure', 'General', 'Platformer', '2D']",E,"May 14, 2015",76,Generally favorable reviews,4,3,0,6.8,Mixed or average reviews,12,2,5
Ninja Gaiden 3: Razor's Edge,Wii U,Team Ninja,"['Action', 'Action Adventure', 'Platformer', 'General', 'Platformer', '3D', '3D']",M,"Nov 18, 2012",69,Mixed or average reviews,18,23,0,7.4,Mixed or average reviews,89,16,21
Ninja Pizza Girl,Wii U,Disparity Games,"['Action', 'Platformer', '2D']",E10+,"Oct  6, 2016",0,No score yet,0,2,0,tbd,No user score yet,0,2,0
Ninja Strike: Dangerous Dash,Wii U,"Natsume, Platinum Egg Inc.","['Action', 'General', 'Platformer', '2D']",E10+,"Oct 15, 2015",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
Nintendo Land,Wii U,Nintendo,"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']",E10+,"Nov 18, 2012",77,Generally favorable reviews,42,19,0,7.9,Generally favorable reviews,403,131,34
Noitu Love: Devolution,Wii U,"Konjak, MP2 Games","['Action', ""Beat-'Em-Up"", '2D']",E10+,"Sep 15, 2016",79,Generally favorable reviews,6,1,0,7.6,Generally favorable reviews,7,0,2
NOVA-111,Wii U,Funktronic Labs,"['Sci-Fi', 'Strategy', 'Turn-Based', 'General']",E,"Sep 24, 2015",76,Generally favorable reviews,4,2,0,7.0,Mixed or average reviews,4,0,2
Now I know my ABCs,Wii U,Skunk Software,"['Miscellaneous', 'Edutainment']",E,"Mar 31, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
Octocopter: Super Sub Squid Escape,Wii U,TACS Games,"['Action', 'Simulation', 'General', 'Marine', 'Combat']",E10+,"Nov 24, 2016",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Octodad: Dadliest Catch,Wii U,"Young Horses, Inc","['Adventure', '3D', 'Third-Person']",E10+,"Oct 29, 2015",76,Generally favorable reviews,3,2,0,7.8,Generally favorable reviews,6,1,1
Oddworld: Abe's Oddysee - New 'n' Tasty,Wii U,"Just Add Water, Nephilm Studios","['Action', 'Platformer', 'Platformer', '2D', '2D']",T,"Feb 11, 2016",81,Generally favorable reviews,6,0,0,7.6,Generally favorable reviews,17,1,4
Ohayou! Beginner's Japanese,Wii U,Finger Gun Games,"['Miscellaneous', 'Edutainment']",E,"Nov 17, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
OlliOlli,Wii U,Tom Hegarty,"['Sports', 'Individual', 'Skate / Skateboard']",E,"Mar  5, 2015",80,Generally favorable reviews,5,1,0,8.1,Generally favorable reviews,12,3,1
Olympia Rising,Wii U,"PlayEveryWare Games, Paleozoic","['Action', 'Platformer', '2D']",E,"Jun  9, 2016",64,Mixed or average reviews,0,4,0,tbd,No user score yet,1,0,2
One Piece: Unlimited World Red,Wii U,Ganbarion,"['Action', 'Action Adventure', 'General']",T,"Jul  8, 2014",66,Mixed or average reviews,2,9,0,7.8,Generally favorable reviews,36,4,8
ORBIT,Wii U,RCMADIAX,"['Action', 'Arcade']",E,"Apr 20, 2017",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Outside the Realm,Wii U,TreeFall Studios,"['Action', 'Arcade']",E,"Feb 11, 2016",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Overworld Defender Remix,Wii U,Stereo Chromatic LLC,"['Action', 'Arcade']",E,"Aug  4, 2016",0,No score yet,0,0,0,tbd,No user score yet,0,0,0
Pac-Man and the Ghostly Adventures,Wii U,"Namco Bandai Games, Monkey Bar Games","['Action', 'Platformer', '3D']",E10+,"Oct 29, 2013",58,Mixed or average reviews,0,7,2,6.8,Mixed or average reviews,12,6,5
Pac-Man and the Ghostly Adventures 2,Wii U,Vicious Cycle,"['Action', 'Platformer', '3D']",E10+,"Oct 14, 2014",0,No score yet,0,1,1,7.0,Mixed or average reviews,6,1,3
Panda Love,Wii U,RCMADIAX,"['Action', 'Platformer', '2D']",E,"Sep  1, 2016",0,No score yet,0,0,3,tbd,No user score yet,0,0,0
Paparazzi,Wii U,Pringo Dingo Games,"['Miscellaneous', 'Party', 'Party / Minigame']",E,"Feb 17, 2015",0,No score yet,0,2,0,tbd,No user score yet,2,1,0
Paper Mario: Color Splash,Wii U,"Nintendo, Intelligent Systems","['Role-Playing', 'Japanese-Style']",E,"Oct  7, 2016",76,Generally favorable reviews,51,22,1,7.1,Mixed or average reviews,286,81,98
Paper Monsters Recut,Wii U,Mobot Studios LLC,"['Action', 'Platformer', '2D']",E,"Oct 16, 2014",74,Mixed or average reviews,4,2,1,8.0,Generally favorable reviews,5,4,0
Paranautical Activity,Wii U,Saturnine Games,"['Action', 'General', 'Shooter', 'First-Person', 'Arcade']",T,"Apr 14, 2016",46,Generally unfavorable reviews,0,2,2,tbd,No user score yet,2,0,0
Peg Solitaire,Wii U,RCMADIAX,"['Miscellaneous', 'Board / Card Game']",E,"Feb  4, 2016",0,No score yet,0,2,0,tbd,No user score yet,0,2,0
PENTAPUZZLE,Wii U,RCMADIAX,"['Puzzle', 'Logic']",E,"Mar 19, 2015",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Percy's Predicament,Wii U,Maestro Interactive Games,"['Miscellaneous', 'Puzzle', 'Action']",E,"Feb  6, 2014",0,No score yet,0,0,1,6.2,Mixed or average reviews,3,0,2
Perpetual Blast,Wii U,Yiannos Efthymiou,"['Simulation', 'Space', 'Combat']",E,"Oct  8, 2015",0,No score yet,0,0,2,tbd,No user score yet,0,0,2
