title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
Death Tales,PlayStation 5,Arcade Distillery,"['Role-Playing', 'Action RPG']",T,"Feb 23, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-02-23
Death's Door,PlayStation 5,Acid Nerve,"['Action Adventure', 'General']",T,"Nov 23, 2021",,0,No score yet,3,0,0,7.4,Mixed or average reviews,28.0,12.0,6.0,74.0,2021-11-23
Deathloop,PlayStation 5,Arkane Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",M,"Sep 14, 2021",,88,Generally favorable reviews,100,9,0,6.5,Mixed or average reviews,804.0,240.0,391.0,65.0,2021-09-14
Deathrun TV,PlayStation 5,Laser Dog,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Jun 15, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-15
Deathverse: Let It Die,PlayStation 5,"Grasshopper Manufacture, Supertrick Games","['Role-Playing', 'Action RPG']",T,"Sep 28, 2022",,70,Mixed or average reviews,1,4,0,0.0,No user score yet,1.0,1.0,1.0,0.0,2022-09-28
Deceive Inc.,PlayStation 5,Sweet Bandits Studios,"['Action', 'Shooter', 'First-Person', 'Tactical']",,"Mar 21, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-03-21
Deep Rock Galactic,PlayStation 5,Ghost Ship Games,"['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Jan  4, 2022",,85,Generally favorable reviews,3,1,0,7.4,Mixed or average reviews,27.0,8.0,8.0,74.0,2022-01-04
Delicious! Pretty Girls Mahjong Solitaire,PlayStation 5,"EastAsiaSoft, Zoo Corporation","['Miscellaneous', 'Board / Card Game']",M,"Sep 24, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-09-24
Deliver Us Mars,PlayStation 5,KeokeN Interactive,"['Adventure', 'General']",T,"Feb  2, 2023",,68,Mixed or average reviews,5,15,1,4.4,Generally unfavorable reviews,8.0,3.0,13.0,44.0,2023-02-02
Deliver Us The Moon,PlayStation 5,KeokeN Interactive,"['Action Adventure', 'Adventure', 'General']",T,"Jun 23, 2022",,71,Mixed or average reviews,3,5,0,6.9,Mixed or average reviews,20.0,10.0,4.0,69.0,2022-06-23
Demeo,PlayStation 5,Resolution Games,"['Strategy', 'Turn-Based', 'Tactics']",E10+,"Feb 22, 2023",,84,Generally favorable reviews,5,1,0,0.0,No user score yet,5.0,1.0,0.0,0.0,2023-02-22
Demetrios the BIG Cynical Adventure REPLASTERED,PlayStation 5,COWCAT,"['Adventure', 'Point-and-Click']",T,"Mar  8, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-03-08
Demon Hunter: Ascendance,PlayStation 5,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Feb 14, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-02-14
Demon Hunter: New Chapter,PlayStation 5,Artifex Mundi,"['Puzzle', 'Hidden Object']",,"Jan 20, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-20
Demon Hunter: Riddles of Light,PlayStation 5,Artifex Mundi,"['Puzzle', 'Hidden Object']",E10+,"Oct 22, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-10-22
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,PlayStation 5,CyberConnect2,"['Action', 'Fighting', '3D']",T,"Oct 13, 2021",,70,Mixed or average reviews,12,18,0,7.7,Generally favorable reviews,39.0,8.0,9.0,77.0,2021-10-13
Demon Turf,PlayStation 5,Fabraz,"['Action', 'Platformer', '3D']",E10+,"Nov  4, 2021",,75,Generally favorable reviews,7,4,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-11-04
Demon's Souls,PlayStation 5,"JapanStudio, Bluepoint Games","['Role-Playing', 'Action RPG']",M,"Nov 11, 2020",,92,Universal acclaim,100,0,0,8.0,Generally favorable reviews,0.0,197.0,560.0,80.0,2020-11-11
Demon's Tier+,PlayStation 5,COWCAT,"['Role-Playing', 'Roguelike']",E10+,"May 27, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2022-05-27
